"Section","week","x","change","Section.name"
" U",10,1,0,"Activities of extraterritorial organisations and bodies"
" U",11,2,-50,"Activities of extraterritorial organisations and bodies"
" U",12,1,-66.6666666666667,"Activities of extraterritorial organisations and bodies"
"J",1,1903,98.0228928199792,"Information and communication"
"J",2,1853,28.8595271210014,"Information and communication"
"J",3,2017,38.8162422573985,"Information and communication"
"J",4,1814,14.2317380352645,"Information and communication"
"J",5,1954,24.8562300319489,"Information and communication"
"J",6,2075,22.563496751329,"Information and communication"
"J",7,1852,18.946692357097,"Information and communication"
"J",8,2121,39.63133640553,"Information and communication"
"J",9,2210,40.3174603174603,"Information and communication"
"J",10,1999,23.1669747381392,"Information and communication"
"J",11,1968,27.5437459494491,"Information and communication"
"J",12,2064,24.8638838475499,"Information and communication"
