"Section","week","x","change","Section.name"
" P",3,318,60.6060606060606,"Education"
" P",4,309,64.3617021276596,"Education"
" P",5,303,56.9948186528497,"Education"
" P",6,305,29.7872340425532,"Education"
" P",7,275,54.4943820224719,"Education"
" P",8,308,48.0769230769231,"Education"
" Q",1,544,55.8739255014327,"Human health and social work activities"
" Q",2,715,60.3139013452915,"Human health and social work activities"
" Q",3,778,45.9662288930582,"Human health and social work activities"
" Q",4,752,44.337811900192,"Human health and social work activities"
" Q",5,700,62.4129930394432,"Human health and social work activities"
" Q",6,814,38.9078498293515,"Human health and social work activities"
" Q",7,651,30.2,"Human health and social work activities"
" Q",8,734,38.4905660377358,"Human health and social work activities"
" R",1,387,121.142857142857,"Arts, entertainment and recreation"
" R",2,461,42.7244582043344,"Arts, entertainment and recreation"
" R",3,467,28.6501377410468,"Arts, entertainment and recreation"
" R",4,442,23.8095238095238,"Arts, entertainment and recreation"
" R",5,398,18.452380952381,"Arts, entertainment and recreation"
" R",6,470,32.3943661971831,"Arts, entertainment and recreation"
" R",7,487,37.9603399433428,"Arts, entertainment and recreation"
" R",8,479,38.4393063583815,"Arts, entertainment and recreation"
" S",1,707,74.1379310344828,"Other service activities"
" S",2,809,52.3540489642184,"Other service activities"
" S",3,701,9.36037441497659,"Other service activities"
" S",4,737,15.5172413793103,"Other service activities"
" S",5,734,30.3730017761989,"Other service activities"
" S",6,777,8.36820083682008,"Other service activities"
" S",7,665,20.0361010830325,"Other service activities"
" S",8,774,33.448275862069,"Other service activities"
" T",1,9,800,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
" T",2,4,-33.3333333333333,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
" T",3,7,133.333333333333,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
" T",4,7,75,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
" T",5,10,100,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
" T",6,8,166.666666666667,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
" T",7,11,266.666666666667,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
" T",8,12,1100,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
" U",1,2,0,"Activities of extraterritorial organisations and bodies"
" U",2,2,-60,"Activities of extraterritorial organisations and bodies"
" U",3,1,-66.6666666666667,"Activities of extraterritorial organisations and bodies"
" U",5,2,-33.3333333333333,"Activities of extraterritorial organisations and bodies"
" U",6,1,0,"Activities of extraterritorial organisations and bodies"
" U",7,2,-33.3333333333333,"Activities of extraterritorial organisations and bodies"
" U",8,1,0,"Activities of extraterritorial organisations and bodies"
"J",1,1905,93.794506612411,"Information and communication"
"J",2,1854,26.3803680981595,"Information and communication"
"J",3,2014,35.5316285329744,"Information and communication"
"J",4,1813,11.4320835894284,"Information and communication"
"J",5,1956,22.25,"Information and communication"
"J",6,2068,19.7452229299363,"Information and communication"
"J",7,1842,15.4858934169279,"Information and communication"
"J",8,2116,34.6055979643766,"Information and communication"
